method,comm_delay_frames,comp_delay_frames,AP@0.5,AP@0.7,BEV AP@0.5,BEV AP@0.7,source,notes
LRCP w/o compensation,5,2,,,1.4883,0.2474,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-7; labels=T"
LRCP w/o compensation,0,4,,,1.4953,0.2276,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-4; labels=T"
LRCP w/o compensation,1,4,,,1.4878,0.2315,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-5; labels=T"
LRCP w/o compensation,2,4,,,1.4896,0.2329,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-6; labels=T"
LRCP w/o compensation,3,4,,,1.4937,0.2491,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-7; labels=T"
LRCP w/o compensation,4,4,,,1.4968,0.2577,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-8; labels=T"
LRCP w/o compensation,5,4,,,1.4895,0.2524,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-9; labels=T"
LRCP + Ours,0,0,,,1.4627,0.2163,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-0; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,1,0,,,1.4714,0.2223,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-1; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,2,0,,,1.4802,0.2157,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-2; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,3,0,,,1.4893,0.2112,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-3; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,4,0,,,1.5092,0.2158,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-4; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,5,0,,,1.4861,0.2137,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-0 ego-motion aligned to T, sender=T-5; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,0,2,,,1.4956,0.2265,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-2; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,1,2,,,1.4828,0.2104,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-3; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,2,2,,,1.5027,0.2178,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-4; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,3,2,,,1.4659,0.2170,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-5; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,4,2,,,1.5102,0.2351,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-6; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only; stage2 trained with max delay 5, evaluated by temporal extrapolation"
LRCP + Ours,5,2,,,1.5089,0.2282,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-2 ego-motion aligned to T, sender=T-7; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only; stage2 trained with max delay 5, evaluated by temporal extrapolation"
LRCP + Ours,0,4,,,1.4938,0.2195,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-4; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,1,4,,,1.4636,0.2212,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-5; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only"
LRCP + Ours,2,4,,,1.5061,0.2356,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-6; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only; stage2 trained with max delay 5, evaluated by temporal extrapolation"
LRCP + Ours,3,4,,,1.5077,0.2307,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-7; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only; stage2 trained with max delay 5, evaluated by temporal extrapolation"
LRCP + Ours,4,4,,,1.5132,0.2396,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-8; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only; stage2 trained with max delay 5, evaluated by temporal extrapolation"
LRCP + Ours,5,4,,,1.4987,0.2463,dair_lrcp_strict_dual_delay_eval,"strict-ish LRCP two-agent adapter: receiver=T-4 ego-motion aligned to T, sender=T-9; labels=T; LRCP learned compensation applies to the non-ego infrastructure agent only; stage2 trained with max delay 5, evaluated by temporal extrapolation"
